titulo,preco,rating,moeda,pagina
A Light in the Attic,51.77,3,GBP,1
Tipping the Velvet,53.74,1,GBP,1
Soumission,50.1,1,GBP,1
Sharp Objects,47.82,4,GBP,1
Sapiens: A Brief History of Humankind,54.23,5,GBP,1
The Requiem Red,22.65,1,GBP,1
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,GBP,1
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,GBP,1
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,GBP,1
The Black Maria,52.15,1,GBP,1
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,GBP,1
Shakespeare's Sonnets,20.66,4,GBP,1
Set Me Free,17.46,5,GBP,1
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,GBP,1
Rip it Up and Start Again,35.02,5,GBP,1
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,GBP,1
Olio,23.88,1,GBP,1
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,GBP,1
Libertarianism for Beginners,51.33,2,GBP,1
It's Only the Himalayas,45.17,2,GBP,1
In Her Wake,12.84,1,GBP,2
How Music Works,37.32,2,GBP,2
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,GBP,2
Chase Me (Paris Nights #2),25.27,5,GBP,2
Black Dust,34.53,5,GBP,2
Birdsong: A Story in Pictures,54.64,3,GBP,2
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,GBP,2
Aladdin and His Wonderful Lamp,53.13,3,GBP,2
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,5,GBP,2
Wall and Piece,44.18,4,GBP,2
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,GBP,2
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,GBP,2
The Elephant Tree,23.82,5,GBP,2
The Bear and the Piano,36.89,1,GBP,2
Sophie's World,15.94,5,GBP,2
Penny Maybe,33.29,3,GBP,2
Maude (1883-1993):She Grew Up with the country,18.02,2,GBP,2
"In a Dark, Dark Wood",19.63,1,GBP,2
Behind Closed Doors,52.22,4,GBP,2
You can't bury them all: Poems,33.63,2,GBP,2
Slow States of Collapse: Poems,57.31,3,GBP,3
Reasons to Stay Alive,26.41,2,GBP,3
Private Paris (Private #10),47.61,5,GBP,3
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,GBP,3
Without Borders (Wanderlove #1),45.07,2,GBP,3
When We Collided,31.77,1,GBP,3
"We Love You, Charlie Freeman",50.27,5,GBP,3
Untitled Collection: Sabbath Poems 2014,14.27,4,GBP,3
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,GBP,3
Unicorn Tracks,18.78,3,GBP,3
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,GBP,3
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,GBP,3
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,GBP,3
This One Summer,19.49,4,GBP,3
Thirst,17.27,5,GBP,3
The Torch Is Passed: A Harding Family Story,19.09,1,GBP,3
The Secret of Dreadwillow Carse,56.13,1,GBP,3
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,GBP,3
The Past Never Ends,56.5,4,GBP,3
The Natural History of Us (The Fine Art of Pretending #2),45.22,3,GBP,3
The Nameless City (The Nameless City #1),38.16,4,GBP,4
